Valentina,Vera,30170921,1982-05-22,6053
Santiago,Álvarez,33936970,1986-04-25,7068
Martina,Borges,21073376,1994-09-01,6293
Joaquin,Valenzuela,23762139,1995-04-10,7574
Juan Ignacio,Pereyra,25829297,1981-09-13,4504
Sofia,Carranza,23391574,1998-07-06,1874
Tomas,Jiménez,24071423,2003-07-23,9555
Bautista,Schapira,38220144,2003-03-18,7574
Mateo,Agüero,29380265,1981-09-07,3347
Catalina,Giménez,37133890,1989-10-02,2041
Benjamin,Martínez,28984059,1992-12-25,509
Agustin,Borges,38254370,1983-06-05,7574
Santino,Marchi,24932324,1987-07-18,3405
Juan Cruz,Pérez,28135861,2004-05-12,3524
Camila,Varela,38654514,1987-09-05,7574
Francisco,Díaz,31641829,2000-05-03,3451
Ignacio,Mora,24435476,1983-04-17,41
Lautaro,Rotundo,33534237,1987-12-17,4014
Juan Pablo,Quispe,28085160,1996-09-04,7574
Valentino,Carranza,31053107,1988-01-09,6633
Lucia,Vargas,34712774,1985-09-13,7380
Delfina,Sala,39001048,1994-11-25,7364
Agustina,Mejía,24148439,2000-01-12,8028
Abril,Scanone,33186398,1982-01-10,8158
Victoria,D'Elia,30453615,1991-12-20,2637
Guadalupe,Huergo,38337195,1991-10-02,9518
Nicolas,Abadía,28931612,1984-12-02,8762
Valentín,Sorbera,22784675,1981-10-13,8242
Julieta,D'Elia,34472143,1987-03-13,5601
Morena,Rosso,20243933,1994-10-08,175
Candela,Arredondo,29712971,2003-02-23,3528
Milagros,Vargas,35910892,1986-01-08,7394
Facundo,Schapira,33715294,1994-07-27,9499
