Emanuel,Soto,22069151,2004-03-30,2979
Santiago Leonel,Saldaña,37288913,1985-11-15,4171
Axel Gabriel,Mejía,25307403,1994-10-20,6750
Benicio,Morales,35298636,1990-11-08,6782
Francesca,Lorca,26635538,2004-04-02,2583
Sofía Valentina,Rotman,26357712,1991-08-21,7160
Juan Sebastian,Saldaña,31452370,1986-07-01,7574
Ignacio Nicolas,López,23858496,1998-09-12,7574
Lautaro Tomas,Silva,29952402,1982-05-30,7574
Lucas Nahuel,Marín,29419020,2004-05-18,3711
Lucila,Mamani,23677231,1983-03-12,9932
Maria Celeste,Hoffmann,23669926,1984-05-28,7894
Valentina Belén,Pavón,28182194,1986-11-17,5646
